fnlwgt,age,educational-num,capital-gain,capital-loss,hours-per-week
89814,38,9,0,0,50
103497,18,10,0,0,30
104626,63,15,3103,0,32
104996,55,4,0,0,10
82091,26,9,0,0,39
60548,37,9,0,0,20
85019,40,16,0,0,45
107914,34,13,0,0,47
99516,54,9,0,0,35
109282,32,10,0,0,60
103634,29,7,0,0,40
54440,18,10,0,0,20
54164,22,9,14084,0,60
110677,21,10,0,0,40
101135,30,13,0,0,50
109912,41,13,0,0,40
105460,19,10,0,0,20
102606,43,9,0,0,48
75012,41,9,0,0,50
67001,45,10,0,0,50
83141,24,10,0,1876,40
113752,31,10,0,0,50
77443,49,4,0,0,20
75826,36,6,0,0,40
30796,20,9,0,0,20
96773,46,9,0,0,40
42972,48,16,0,0,40
115438,27,9,0,0,60
100793,42,16,0,0,41
83822,46,14,0,0,40
113732,42,10,0,625,40
93225,38,13,0,0,40
43064,55,7,0,0,30
41879,18,9,0,0,25
21175,61,8,0,0,60
83411,40,10,0,0,37
59840,54,9,0,0,45
52753,23,9,0,0,50
56964,31,10,0,0,40
26716,57,13,0,0,45
34848,34,13,0,0,54
53355,19,7,0,0,12
37306,49,9,0,0,40
42251,23,13,0,0,45
77698,25,9,0,0,40
65479,63,5,7688,0,40
96869,18,8,0,0,40
103435,31,9,0,0,40
104443,22,10,0,0,20
110342,39,9,0,0,50
99970,21,10,0,0,15
57629,62,10,4650,0,40
109937,50,10,0,0,50
100293,29,10,0,0,40
116372,27,14,0,0,40
65325,58,6,0,0,40
34744,38,10,0,0,38
109667,20,10,0,0,16
38573,56,12,0,0,45
43354,51,10,0,0,42
98776,37,13,0,0,40
102258,22,10,0,0,40
95530,33,14,0,0,50
71807,64,16,15024,0,50
78020,57,9,0,0,40
87218,34,14,0,1887,50
48063,36,9,0,0,80
39257,29,9,0,0,40
56150,33,13,2174,0,40
106562,27,13,0,0,50
107318,59,4,5178,0,50
106014,31,11,0,0,40
90409,33,13,0,0,45
50223,57,10,0,0,25
52433,43,10,0,0,70
48214,33,14,0,0,8
112076,58,16,0,1485,35
27898,49,9,0,1977,55
79586,37,9,0,0,60
116358,36,14,0,0,45
59287,45,13,0,0,40
40299,17,7,0,0,25
51494,43,9,0,0,65
55457,42,6,0,0,40
88145,65,2,0,0,40
113838,59,9,0,0,40
97165,29,10,0,0,40
104301,47,7,0,0,45
115931,64,9,0,0,50
50626,19,10,0,0,20
71467,62,14,0,0,40
26586,75,6,0,0,5
65278,32,9,2580,0,40
102258,24,13,0,0,40
95108,27,13,0,0,40
20308,37,13,0,0,65
113364,34,10,0,0,40
98806,44,4,0,0,38
33117,32,11,0,0,40
85783,39,13,0,0,28
75435,33,9,0,0,40
98776,35,9,0,0,60
107960,34,3,0,0,40
48520,33,10,0,0,40
37019,39,9,0,0,60
48976,38,9,0,1887,10
104423,27,9,0,0,40
104936,66,6,0,0,38
105141,34,10,0,0,40
38455,20,9,0,0,40
107732,64,2,0,0,45
84294,36,13,0,0,72
98779,44,10,5178,0,40
78528,18,7,0,0,20
107231,48,13,0,0,40
106448,35,11,0,0,40
113587,26,6,0,0,35
72425,48,13,0,0,50
33945,32,13,0,0,40
53833,54,13,0,0,50
116369,35,9,0,0,40
113446,73,3,0,0,54
103548,28,13,0,0,40
38434,41,14,0,0,30
29515,26,9,0,0,40
32207,37,9,0,0,40
43607,31,13,0,0,60
101562,30,9,0,0,40
86143,36,11,0,0,40
39493,18,10,0,0,30
39140,49,9,0,0,60
56150,32,9,0,0,40
90860,18,10,0,0,20
29430,37,9,0,0,45
34307,47,10,0,0,35
67716,48,14,7688,0,50
55395,42,10,0,0,52
44489,45,11,0,0,10
34722,40,13,0,0,50
83912,31,13,0,0,25
83774,24,9,2885,0,45
57233,44,10,0,0,40
72776,65,4,2964,0,40
54318,33,9,0,0,40
94214,53,15,7298,0,50
85382,51,9,0,0,55
111336,40,9,0,0,28
100252,30,9,0,0,60
46366,41,13,0,0,50
32732,23,10,0,0,50
77661,25,13,0,2444,40
102568,36,13,0,0,40
110998,23,10,0,0,40
103575,62,9,5178,0,40
111545,36,13,0,1902,40
72776,67,10,10566,0,15
112812,39,9,0,0,40
43290,57,6,0,0,20
111385,57,6,0,0,40
34895,41,13,0,0,43
109456,24,13,0,0,25
53874,67,8,0,0,40
40323,23,10,0,0,40
108926,27,10,0,0,5
28984,32,10,0,2001,25
37932,22,12,0,0,35
97306,30,10,0,0,40
50380,37,7,0,0,40
42750,19,9,0,0,40
98644,37,13,0,0,16
108775,29,13,0,0,50
33551,22,10,0,0,40
89083,37,12,0,0,35
93997,61,13,0,0,40
96652,46,11,0,0,40
103759,42,9,0,0,48
54422,41,9,0,0,40
107215,33,5,0,0,40
106043,37,9,0,0,40
31532,58,13,0,0,40
67243,42,2,0,0,55
86939,23,9,0,0,40
69345,50,9,0,1902,44
116409,37,15,0,0,40
105161,38,13,0,0,30
27457,79,14,0,0,23
41017,39,6,0,0,70
27385,57,10,0,0,48
51415,67,10,0,0,40
115085,20,10,0,0,40
67244,21,9,0,0,40
75785,59,7,0,0,40
109567,59,9,0,0,55
22502,66,4,0,0,40
23778,30,10,4416,0,40
22211,51,9,0,0,37
57711,23,13,0,0,40
49665,44,11,0,0,40
53373,30,13,0,0,40
53956,44,13,3137,0,40
74593,36,10,0,0,40
28544,17,7,0,0,20
111558,49,9,0,1977,25
114074,34,11,0,0,40
107584,40,13,0,0,40
66893,29,13,0,0,40
36186,53,13,7298,0,40
89655,77,9,0,0,40
98466,40,9,0,0,40
77792,35,9,0,0,40
94869,37,14,4787,0,40
81010,17,7,0,0,20
54260,47,11,0,1887,60
35855,18,7,0,0,30
84119,30,9,0,0,65
47343,47,14,0,0,50
103614,40,6,0,0,40
25610,31,1,0,0,25
13769,42,11,0,0,40
61885,45,13,15024,0,48
34378,38,4,0,0,40
60726,26,14,6849,0,50
32174,34,9,0,0,40
23940,22,9,0,0,40
57371,60,4,0,0,40
73684,55,13,15024,0,65
107164,39,9,0,0,40
54611,41,9,7298,0,50
101676,71,6,0,0,40
102400,26,9,0,0,40
106175,67,13,0,0,20
82393,27,9,0,0,40
115284,50,14,0,0,40
29702,42,9,0,0,42
107085,63,9,0,0,7
95465,27,10,0,0,55
115562,43,13,99999,0,50
117054,48,3,0,0,99
107503,44,16,5013,0,60
53540,45,7,0,0,16
91262,65,9,0,0,48
115358,47,9,0,0,40
78283,32,8,0,0,40
74660,54,13,0,0,40
60949,42,14,0,0,45
37655,35,9,0,0,60
117023,24,13,0,0,40
53833,53,10,0,0,32
56213,53,10,0,0,45
51700,35,9,0,0,40
70055,43,11,0,0,56
94706,37,13,27828,0,40
106672,28,13,0,0,2
72443,27,9,0,0,40
83953,42,10,0,0,70
112761,45,10,0,0,45
32086,36,10,7298,0,40
71009,22,12,0,0,40
31740,33,9,0,0,40
62428,37,10,0,0,15
36779,18,7,0,0,20
106306,19,10,0,0,20
101582,62,4,0,0,35
112497,37,13,4934,0,50
75171,41,13,0,0,40
52870,37,13,0,0,40
106069,62,4,0,0,40
54260,47,7,0,0,40
28171,45,14,0,0,40
109494,29,13,5178,0,45
44780,38,13,0,0,8
70021,18,9,0,0,12
97614,34,9,0,0,40
112225,21,10,0,0,15
52401,39,14,0,0,50
108140,35,14,0,0,50
108126,29,5,0,0,40
78529,28,10,0,0,40
83413,33,10,0,0,50
108023,34,13,0,0,40
103435,33,15,7688,0,50
41210,30,11,0,0,45
101427,65,13,2653,0,30
103277,24,11,0,0,40
24361,34,15,10520,0,40
82910,28,9,0,0,40
105586,65,10,20051,0,40
21755,40,10,0,0,30
35595,34,13,0,0,40
72896,45,11,0,0,40
87300,61,9,0,0,40
117310,45,9,0,0,50
28738,35,13,4101,0,40
46492,31,11,0,0,40
98980,52,9,0,0,40
114591,37,12,0,0,50
71592,37,9,0,0,17
114765,35,14,0,0,38
73471,39,9,0,1573,45
86681,27,10,0,0,40
68326,74,11,0,0,40
105936,40,15,0,0,40
79303,33,10,0,0,50
64632,44,13,0,0,55
103980,44,10,3325,0,35
86745,22,10,0,0,40
104525,32,9,2407,0,40
91278,19,10,0,0,25
111361,27,10,0,0,35
116360,48,11,0,0,10
30828,39,9,0,0,40
39518,47,13,0,0,60
34965,25,10,0,0,40
47218,23,10,0,0,40
73541,46,9,0,0,40
71376,48,14,0,0,40
97933,34,5,0,0,38
38321,44,9,0,0,40
29927,41,11,0,0,40
109414,24,10,0,0,20
39128,61,9,0,0,35
103540,47,13,0,0,50
110212,64,9,0,0,40
113760,21,9,0,0,40
44041,39,12,0,0,60
20469,36,9,0,0,40
46385,38,9,0,0,40
50941,19,10,0,0,15
59664,53,9,5013,0,40
76493,33,13,0,0,50
100580,33,10,0,0,10
112656,41,9,0,0,40
26145,47,12,0,0,40
57691,39,9,0,2258,70
27847,46,9,0,0,48
72808,48,7,0,0,42
92863,20,9,0,0,40
40666,46,13,0,0,40
105239,58,9,0,0,40
33604,26,9,0,0,25
54260,47,10,0,0,45
56299,27,7,0,0,40
57092,27,9,0,0,45
38948,37,13,0,0,40
91189,21,10,0,0,60
89211,19,9,0,0,40
94036,39,9,0,0,40
41356,20,10,0,0,25
34574,30,14,0,0,50
107009,49,9,0,0,40
33551,24,10,0,0,50
100154,32,5,0,0,40
80145,32,9,0,0,40
99349,73,13,0,0,15
29702,83,4,0,0,20
79586,32,13,0,0,40
35429,37,9,1506,0,40
34506,20,10,0,0,20
79001,48,12,0,0,40
40103,57,6,0,0,35
100734,30,13,0,0,40
40024,44,13,0,0,52
56651,43,9,0,0,50
110884,45,13,0,0,45
50707,36,13,0,0,40
106707,58,3,0,0,48
22154,51,10,0,0,40
109509,33,9,0,0,35
97295,21,10,0,0,45
95680,60,9,0,0,45
117528,37,9,0,0,40
106207,49,13,0,0,40
29526,19,9,0,0,32
116379,43,9,0,0,60
98360,37,8,0,0,40
40151,42,9,0,0,60
50648,24,10,0,0,45
24274,20,9,0,0,35
99064,51,14,0,0,35
94186,53,12,0,0,37
110931,68,9,0,0,32
47012,42,13,0,0,40
98921,67,12,0,0,50
94235,30,7,0,0,40
84141,44,13,0,0,65
111520,32,10,0,0,34
109969,41,10,0,0,40
112137,24,13,0,0,50
102828,52,13,0,0,40
107812,28,5,6849,0,35
112115,34,13,0,0,40
83827,40,10,0,0,40
112847,44,4,0,0,40
45427,30,13,0,0,70
94041,33,13,0,1974,30
60358,25,9,0,0,45
28419,48,13,0,0,40
112564,31,10,0,0,40
97281,32,10,0,0,40
110749,28,9,0,0,39
116608,38,10,0,0,20
42881,29,13,0,0,40
37688,19,9,0,0,25
114758,50,9,0,0,40
93605,54,9,0,0,40
43921,19,10,0,0,40
24504,31,9,0,0,50
113080,60,9,0,0,50
56924,65,9,0,0,10
95647,53,10,0,0,50
98227,50,9,0,0,40
73069,60,10,0,0,38
101345,32,14,0,1741,40
24008,20,10,0,0,40
67433,39,9,0,0,40
53956,40,13,0,0,50
104827,69,9,0,0,8
101709,18,9,0,0,15
60722,44,9,0,0,40
32209,61,5,0,2051,40
95082,52,9,0,0,60
87771,40,9,0,0,40
91317,43,12,0,0,40
106159,42,13,0,0,40
37085,19,10,0,0,20
88020,51,13,0,0,40
102270,33,9,0,0,30
37314,35,11,0,0,40
29213,41,10,0,0,45
110167,38,14,0,0,40
86483,26,6,0,0,40
54608,34,10,0,0,40
56236,41,9,1506,0,40
26698,36,9,0,0,50
70282,35,9,0,0,40
32950,37,12,0,0,40
48520,30,9,0,0,80
66893,28,13,0,1564,50
33016,23,9,0,0,40
43608,33,10,0,0,40
57827,21,9,0,0,40
110145,28,5,0,0,40
104329,28,10,0,0,50
103575,61,15,99999,0,40
27408,39,9,7298,0,50
110592,33,13,0,0,50
106491,26,10,0,0,40
100480,52,9,0,0,44
69905,57,9,15024,0,40
48121,21,10,0,0,40
76482,48,10,0,0,50
69596,45,6,0,0,40
112680,34,9,0,0,20
45599,52,9,0,0,50
93174,39,9,0,0,60
37939,31,10,0,0,43
77218,34,9,0,0,40
45741,71,13,20051,0,30
105803,39,14,0,0,48
29702,77,9,0,0,35
77572,40,10,0,0,40
89360,33,9,5178,0,55
33001,37,9,0,0,50
54269,67,6,0,0,12
112139,32,9,0,0,30
94492,17,6,0,0,30
100734,30,13,0,0,40
92968,41,14,0,0,40
29144,33,13,0,0,55
111589,42,11,0,0,40
93449,53,15,0,0,40
97470,48,10,0,0,40
109385,72,2,0,0,36
37170,66,9,0,0,42
106471,35,13,0,0,35
37302,27,12,0,0,40
91608,49,10,0,0,40
42706,21,10,0,0,30
42488,65,15,2653,0,8
63574,19,10,0,0,40
27565,34,11,0,0,27
113751,34,7,0,0,37
61287,40,10,0,0,40
100345,21,9,0,0,53
104257,26,9,0,0,50
112247,40,13,0,0,50
73070,41,14,0,0,40
67725,46,13,0,0,10
67243,43,13,0,0,45
25955,28,11,0,0,40
31657,25,11,0,0,34
117528,36,9,0,0,38
62539,57,9,0,1876,38
103389,29,15,4787,0,40
90579,49,9,5013,0,50
91972,47,9,0,0,35
44047,19,9,0,0,40
76845,37,14,0,0,40
33016,22,10,0,0,40
116531,29,14,0,0,40
24896,21,10,0,0,35
69251,36,9,0,0,40
91716,38,7,0,0,40
93717,38,11,0,0,45
111499,38,15,0,0,32
100145,34,10,0,0,20
103339,18,6,0,1719,16
56071,48,13,0,0,40
45363,44,10,0,0,44
103886,36,9,0,0,15
29059,61,9,0,0,12
106900,43,10,0,0,40
76728,50,10,0,0,39
55854,42,13,0,0,40
36801,17,6,0,0,18
115725,18,7,0,0,12
96219,27,9,0,0,50
81534,45,9,0,0,40
111058,26,13,0,0,50
94809,65,9,0,0,40
48358,51,9,3103,0,52
77792,38,9,0,0,56
114753,44,10,0,0,38
99373,42,9,0,0,40
49358,30,8,0,0,40
114639,33,7,0,0,40
30269,36,10,7298,0,32
48456,31,10,0,0,40
29702,40,9,0,0,85
30101,30,10,0,0,40
70985,30,9,0,0,75
91141,17,6,0,0,8
95708,27,7,0,0,40
98360,38,16,0,0,50
49325,34,14,0,0,40
90872,28,10,0,0,40
60459,63,10,0,0,37
41865,17,9,0,0,5
107302,39,13,0,0,35
96219,27,9,3418,0,32
100734,34,9,0,0,40
112009,24,9,0,0,35
70209,47,9,0,0,40
70554,47,10,0,0,40
31801,28,13,0,1887,50
97723,33,9,0,0,40
92943,67,9,0,0,21
106347,37,14,0,0,65
110371,24,9,0,0,40
41763,22,9,0,0,42
33460,61,9,0,0,40
102729,36,9,0,0,45
114828,18,8,0,0,4
110408,28,9,0,0,40
102388,47,9,0,0,60
94413,31,9,3325,0,40
108432,29,14,0,0,40
109621,29,9,0,0,40
67229,47,7,0,0,40
98211,40,9,0,0,40
54298,25,9,0,0,30
49275,48,10,0,1485,50
67243,40,10,0,0,40
114691,31,13,0,0,48
93461,36,9,0,0,30
54098,45,9,0,0,45
83315,23,6,0,0,10
78401,19,9,0,0,40
110110,46,14,0,0,65
105745,59,11,0,0,45
24896,22,10,0,0,32
107164,35,13,0,0,50
53768,45,14,0,0,70
49358,33,6,0,0,40
48947,52,11,0,0,13
32825,49,9,0,0,70
82847,21,10,0,0,38
30690,45,4,0,0,10
113631,24,13,0,0,40
90737,40,10,0,1887,40
72887,25,7,0,0,40
98361,58,9,0,0,40
99131,58,9,7298,0,40
47541,24,14,0,0,25
62834,52,9,0,0,20
108706,28,9,0,0,40
95998,42,13,0,0,45
84231,58,6,0,0,50
52921,25,12,0,0,45
87310,34,9,2174,0,40
100333,31,7,0,0,36
105930,25,9,0,0,40
96062,53,11,0,0,40
25497,25,10,4101,0,40
99208,54,1,0,0,16
55104,31,9,0,0,25
68452,56,9,0,0,40
113401,70,6,0,0,40
74706,17,7,0,0,20
94873,52,9,0,0,19
33884,21,10,0,0,40
117292,62,14,8614,0,45
39212,73,9,0,0,20
30219,45,10,0,0,40
81169,51,9,0,0,38
92143,39,11,7688,0,55
102791,56,9,0,0,35
59660,38,11,0,0,50
50468,70,9,0,3175,15
63042,28,9,0,0,35
110102,73,9,0,1668,77
54314,45,5,0,0,20
77521,50,7,0,0,40
33016,21,6,0,0,25
39388,29,9,0,0,40
31659,29,10,2202,0,45
98719,51,9,0,0,40
96178,21,9,0,0,40
112497,37,13,0,0,60
55395,44,11,0,0,40
104772,36,13,3908,0,40
73296,34,7,0,0,40
86618,45,14,0,0,50
90393,63,10,0,0,48
79078,26,9,0,0,50
37522,36,13,15024,0,50
96321,44,10,0,0,40
22149,37,9,0,0,18
34186,46,9,0,0,40
46449,67,13,0,0,10
113461,42,9,0,0,40
30433,32,13,0,0,72
91726,61,14,0,0,40
48189,31,5,0,0,65
96866,19,10,0,0,30
98549,18,9,0,1602,35
101782,39,9,0,0,40
36990,56,9,0,0,52
70261,24,9,0,0,40
110861,39,13,0,0,50
89598,29,13,0,2057,35
44216,48,14,0,0,20
32627,41,9,0,0,40
23500,31,9,0,0,75
62593,50,11,0,0,40
55395,41,10,0,0,40
67019,18,9,0,0,30
107584,43,10,0,0,55
104455,57,10,0,0,90
99014,46,10,0,0,35
